accno,delref,store_name,rep_code,rep_name,health_score,tier_code,tier_label,tier_emoji,freq_3m,freq_6m,freq_12m,freq_score,visits_6m,visits_per_month,days_since_purchase,cadence_score,n_cats_all,n_cats_12m,cats_12m,basket_score,sku_depth_score,sku_depth_detail,trend_slope_pct,trend_score,is_recovery
KB108,KB108,Boxer Hardware,NP,Nikhil Panchal,70.5,growing,Active & Growing,🟢,2.67,3.51,3.08,87.8,5,0.83,16,41.7,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,100.0,PVA Paints:6.8%; Enamel:18.6%; Floor & Roof Paints:20.3%; Waterproofing:31.6%; Woodcare:68.0%; Putty:75.0%; Accessories:24.2%; QD Enamel:15.4%; Primers:15.0%; General:18.8%,-27.29,0.0,False
KS019,KS019/4,S.I.Hardware,NP,Nikhil Panchal,70.2,growing,Active & Growing,🟢,1.0,1.0,1.0,25.0,28,4.67,44,100.0,9,9,"Accessories, Enamel, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",81.8,70.0,Primers:12.5%; Enamel:10.4%; Waterproofing:18.4%; Woodcare:40.0%; Specialised Coatings:16.7%; General:25.0%; Accessories:12.1%; QD Enamel:22.1%; PVA Paints:0.3%,8.53,92.6,False
KK021,KK021/4,Kit Kat Group (Pty) Ltd,NP,Nikhil Panchal,69.8,growing,Active & Growing,🟢,3.67,3.17,2.42,79.2,4,0.67,10,33.3,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,100.0,PVA Paints:31.4%; QD Enamel:21.2%; Enamel:18.0%; Floor & Roof Paints:27.0%; Primers:32.5%; Waterproofing:21.1%; Woodcare:84.0%; Putty:37.5%; General:50.0%; Accessories:42.4%; Specialised Coatings:16.7%,-10.45,0.0,False
KA014,KA014,Ayob's Hardware,BV,Bhadresh Vallabh,68.8,growing,Active & Growing,🟢,2.0,1.5,1.33,37.5,5,0.83,16,41.7,9,9,"Accessories, Enamel, Floor & Roof Paints, General, Primers, Putty, QD Enamel, Specialised Coatings, Woodcare",81.8,90.8,Primers:27.5%; Enamel:14.8%; Woodcare:32.0%; Putty:37.5%; General:18.8%; Accessories:15.2%; QD Enamel:10.6%; Floor & Roof Paints:23.0%; Specialised Coatings:25.0%,51.02,100.0,False
KH018,KH018,Help U Build (Pty) Ltd,AC,Aboo Cassim,68.6,growing,Active & Growing,🟢,1.0,1.34,1.25,33.5,7,1.17,51,58.3,11,9,"Accessories, Enamel, General, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",89.1,64.9,QD Enamel:9.6%; Waterproofing:7.9%; Putty:37.5%; Primers:15.0%; Accessories:18.2%; General:22.9%; Enamel:2.2%; Specialised Coatings:16.7%; Woodcare:16.0%,71.58,100.0,False
KB003,KB003,New Best Build Hardware,AP,Amit Patel,68.0,growing,Active & Growing,🟢,1.0,1.5,1.83,37.5,6,1.0,16,50.0,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,76.5,Enamel:17.5%; Primers:5.0%; Woodcare:52.0%; Putty:62.5%; General:4.2%; Accessories:18.2%; QD Enamel:8.7%; Waterproofing:15.8%; Floor & Roof Paints:4.1%; PVA Paints:3.2%,6.46,82.3,False
KS029,KS029/1,Duro Build,BV,Bhadresh Vallabh,67.9,growing,Active & Growing,🟢,1.0,1.0,0.92,25.0,10,1.67,31,83.3,9,9,"Accessories, Enamel, General, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",81.8,63.8,Enamel:11.5%; Primers:10.0%; Woodcare:24.0%; Accessories:15.2%; QD Enamel:14.4%; Putty:37.5%; General:4.2%; Specialised Coatings:8.3%; Waterproofing:18.4%,36.55,100.0,False
KE008,KE008,Easy Build,NP,Nikhil Panchal,67.7,growing,Active & Growing,🟢,1.67,1.84,1.83,46.0,3,0.5,9,25.0,9,9,"Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Woodcare",81.8,100.0,Primers:30.0%; Enamel:21.3%; Woodcare:84.0%; Putty:37.5%; QD Enamel:17.3%; PVA Paints:7.8%; Specialised Coatings:41.7%; Floor & Roof Paints:14.9%; General:22.9%,7.16,85.8,False
KK012,KK012,Pacfic Beach Trading 8cc,BV,Bhadresh Vallabh,67.3,growing,Active & Growing,🟢,1.34,1.17,1.0,29.2,9,1.5,8,75.0,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,86.1,Enamel:16.4%; Putty:62.5%; Accessories:21.2%; PVA Paints:6.5%; QD Enamel:3.8%; Floor & Roof Paints:4.1%; Woodcare:56.0%; General:8.3%; Primers:7.5%; Waterproofing:28.9%,1.37,56.8,False
KO002,KO002,Omega Hardware And Supermarket,NP,Nikhil Panchal,67.3,growing,Active & Growing,🟢,1.67,2.34,1.83,58.5,5,0.83,16,41.7,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,79.2,PVA Paints:7.4%; Enamel:12.0%; Floor & Roof Paints:14.9%; Putty:62.5%; Accessories:21.2%; Woodcare:24.0%; QD Enamel:4.8%; Primers:12.5%; Waterproofing:26.3%; General:12.5%,-0.26,48.7,False
KD003,KD003,Del Piero Trading CC,NP,Nikhil Panchal,66.9,growing,Active & Growing,🟢,2.34,3.01,3.58,75.2,5,0.83,9,41.7,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,69.4,Primers:10.0%; Woodcare:36.0%; General:6.2%; Accessories:12.1%; QD Enamel:21.2%; PVA Paints:1.6%; Waterproofing:28.9%; Specialised Coatings:8.3%; Enamel:16.9%; Putty:37.5%; Floor & Roof Paints:12.2%,-8.09,9.5,False
KI010,KI010,I.Build Hardware,NP,Nikhil Panchal,66.8,growing,Active & Growing,🟢,4.68,6.51,6.33,100.0,4,0.67,3,33.3,8,8,"Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Woodcare",72.7,100.0,PVA Paints:14.2%; Enamel:31.7%; General:25.0%; QD Enamel:13.5%; Floor & Roof Paints:31.1%; Primers:17.5%; Woodcare:80.0%; Specialised Coatings:33.3%,-16.28,0.0,False
KA008,KA008/2,AA Hardware 2,AP,Amit Patel,66.7,growing,Active & Growing,🟢,0.67,0.67,0.5,16.8,10,1.67,16,83.3,9,8,"Accessories, Enamel, General, PVA Paints, Primers, Putty, QD Enamel, Woodcare",76.4,80.3,Enamel:6.6%; PVA Paints:0.6%; Putty:62.5%; Accessories:15.2%; QD Enamel:1.9%; Primers:7.5%; Woodcare:56.0%; General:10.4%,33.57,100.0,False
KP018,KP018/1,Khotawala 786 Traders TA,AP,Amit Patel,66.7,growing,Active & Growing,🟢,1.0,1.0,1.17,25.0,5,0.83,16,41.7,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,91.4,PVA Paints:2.6%; Enamel:16.9%; Primers:10.0%; Waterproofing:26.3%; Woodcare:48.0%; General:20.8%; Accessories:24.2%; Putty:75.0%; Floor & Roof Paints:2.7%; QD Enamel:1.9%,7.59,88.0,False
KA050,KA050,Fountain Square Trading 129cc,AC,Aboo Cassim,66.7,growing,Active & Growing,🟢,2.0,2.0,1.75,50.0,6,1.0,38,50.0,7,6,"Accessories, Enamel, Floor & Roof Paints, PVA Paints, Waterproofing, Woodcare",58.2,94.9,PVA Paints:14.6%; Enamel:23.0%; Floor & Roof Paints:18.9%; Waterproofing:15.8%; Woodcare:64.0%; Accessories:6.1%,47.73,100.0,False
KT019,KT019,Trendleaders Trading & Inv. CC,NP,Nikhil Panchal,66.5,growing,Active & Growing,🟢,1.34,2.0,2.17,50.0,0,0.0,28,0.0,10,9,"Accessories, Enamel, Floor & Roof Paints, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",85.5,89.1,Floor & Roof Paints:20.3%; PVA Paints:5.5%; Primers:22.5%; Woodcare:48.0%; Accessories:27.3%; QD Enamel:23.1%; Enamel:18.6%; Specialised Coatings:16.7%; Waterproofing:18.4%,20.01,100.0,False
KL020,KL020,Light Centre,AP,Amit Patel,65.8,growing,Active & Growing,🟢,0.67,0.67,0.67,16.8,4,0.67,11,33.3,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,95.7,Enamel:14.2%; Woodcare:56.0%; Putty:75.0%; General:20.8%; Accessories:30.3%; PVA Paints:1.9%; QD Enamel:2.9%; Waterproofing:26.3%; Floor & Roof Paints:6.8%; Primers:5.0%,13.52,100.0,False
KP002,KP002,Power Hardware,AP,Amit Patel,65.6,growing,Active & Growing,🟢,1.34,1.67,2.08,41.8,5,0.83,1,41.7,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,100.0,Enamel:19.1%; Primers:10.0%; Woodcare:84.0%; QD Enamel:12.5%; PVA Paints:6.5%; Waterproofing:15.8%; Putty:62.5%; Accessories:12.1%; Floor & Roof Paints:6.8%; General:27.1%,-1.18,44.1,False
KL004,KL004,World Focus 1932 CC,AP,Amit Patel,65.6,growing,Active & Growing,🟢,1.67,1.84,1.92,46.0,10,1.67,11,83.3,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,77.2,PVA Paints:3.9%; Enamel:15.8%; Waterproofing:23.7%; Woodcare:36.0%; Putty:50.0%; General:10.4%; Accessories:30.3%; QD Enamel:7.7%; Primers:10.0%; Specialised Coatings:8.3%; Floor & Roof Paints:16.2%,-22.37,0.0,False
KP005,KP005/1,Patel (Nkomazi Imp. & Exp. CC),BV,Bhadresh Vallabh,65.0,growing,Active & Growing,🟢,1.34,1.34,1.33,33.5,23,3.83,7,100.0,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,89.3,Primers:7.5%; Putty:62.5%; General:31.2%; Accessories:30.3%; Floor & Roof Paints:4.1%; PVA Paints:5.2%; Enamel:6.0%; Woodcare:44.0%; QD Enamel:8.7%; Waterproofing:23.7%,-8.65,6.7,False
KU008,KU008,Uzzi Hardware PTY LTD,BV,Bhadresh Vallabh,65.0,growing,Active & Growing,🟢,0.67,0.67,1.0,16.8,5,0.83,31,41.7,11,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",94.5,74.8,PVA Paints:3.6%; Enamel:10.9%; Floor & Roof Paints:12.2%; Waterproofing:18.4%; Woodcare:72.0%; Accessories:15.2%; QD Enamel:16.3%; Primers:5.0%; Specialised Coatings:16.7%; General:16.7%,29.21,100.0,False
KA038,KA038,Ace Hardware & Furniture,AP,Amit Patel,64.6,narrow,Active but Narrow,🟡,3.01,2.34,2.58,58.5,4,0.67,1,33.3,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,78.4,PVA Paints:4.9%; Enamel:13.1%; Waterproofing:36.8%; Woodcare:32.0%; Accessories:15.2%; Putty:50.0%; General:18.8%; Floor & Roof Paints:12.2%; QD Enamel:2.9%; Primers:10.0%,-2.03,39.8,False
